,sampling,evaluations,regression,shapiq_post_processing,total,game_id,id_explain,approximator,budget,n_players,id_config_approximator
0,0.00070953369140625,0.4090397357940674,0.00041675567626953125,6.604194641113281e-05,0.4102320671081543,california_housing_random_forest,0,OldLeverageSHAP,256,8,37
0,0.0004489421844482422,0.014101743698120117,0.0005517005920410156,2.574920654296875e-05,0.015128135681152344,california_housing_random_forest,0,PolySHAP-2ADD,9,8,37
0,0.0005745887756347656,0.015093088150024414,0.0005567073822021484,2.5987625122070312e-05,0.0162503719329834,california_housing_random_forest,0,PolySHAP-2ADD,13,8,37
0,0.0007090568542480469,0.03194570541381836,0.0006830692291259766,4.029273986816406e-05,0.03337812423706055,california_housing_random_forest,0,PolySHAP-2ADD,18,8,37
0,0.001149892807006836,0.046431541442871094,0.0007779598236083984,2.8133392333984375e-05,0.04838752746582031,california_housing_random_forest,0,PolySHAP-2ADD,27,8,37
0,0.001264810562133789,0.060785531997680664,0.0009984970092773438,2.86102294921875e-05,0.06307744979858398,california_housing_random_forest,0,PolySHAP-2ADD,39,8,37
0,0.002199411392211914,0.0851893424987793,0.0007762908935546875,3.695487976074219e-05,0.08820199966430664,california_housing_random_forest,0,PolySHAP-2ADD,57,8,37
0,0.002750396728515625,0.1407334804534912,0.0008056163787841797,2.574920654296875e-05,0.14431524276733398,california_housing_random_forest,0,PolySHAP-2ADD,83,8,37
0,0.004063844680786133,0.1820070743560791,0.0009560585021972656,2.5987625122070312e-05,0.18705296516418457,california_housing_random_forest,0,PolySHAP-2ADD,121,8,37
0,0.003904581069946289,0.2562062740325928,0.0010111331939697266,2.765655517578125e-05,0.26114964485168457,california_housing_random_forest,0,PolySHAP-2ADD,176,8,37
0,0.0007741451263427734,0.3238332271575928,0.0012178421020507812,3.361701965332031e-05,0.32585883140563965,california_housing_random_forest,0,PolySHAP-2ADD,256,8,37
0,0.0006458759307861328,0.030300617218017578,0.0016162395477294922,2.8848648071289062e-05,0.03259158134460449,california_housing_random_forest,0,PolySHAP-3ADD,9,8,37
0,0.0007898807525634766,0.03365445137023926,0.001775503158569336,3.170967102050781e-05,0.03625154495239258,california_housing_random_forest,0,PolySHAP-3ADD,13,8,37
0,0.0009684562683105469,0.04453158378601074,0.0011620521545410156,2.6702880859375e-05,0.04668879508972168,california_housing_random_forest,0,PolySHAP-3ADD,18,8,37
0,0.0009489059448242188,0.039342403411865234,0.0012056827545166016,2.7179718017578125e-05,0.04152417182922363,california_housing_random_forest,0,PolySHAP-3ADD,27,8,37
0,0.0013141632080078125,0.0537259578704834,0.0014226436614990234,2.7418136596679688e-05,0.056490182876586914,california_housing_random_forest,0,PolySHAP-3ADD,39,8,37
0,0.0019042491912841797,0.0833590030670166,0.0016620159149169922,3.814697265625e-05,0.08696341514587402,california_housing_random_forest,0,PolySHAP-3ADD,57,8,37
