,sampling,evaluations,regression,shapiq_post_processing,total,game_id,id_explain,approximator,budget,n_players,id_config_approximator
0,0.0007855892181396484,0.23131012916564941,0.002305269241333008,5.412101745605469e-05,0.23445510864257812,CIFAR10_1,0,LeverageSHAP,16,16,37
0,0.0015399456024169922,0.5223314762115479,0.00026607513427734375,2.6226043701171875e-05,0.5241637229919434,CIFAR10_1,0,LeverageSHAP,37,16,37
0,0.0020885467529296875,1.1656172275543213,0.00026726722717285156,2.384185791015625e-05,1.167996883392334,CIFAR10_1,0,LeverageSHAP,81,16,37
0,0.004067420959472656,2.5579674243927,0.0003185272216796875,3.0279159545898438e-05,2.5623836517333984,CIFAR10_1,0,LeverageSHAP,179,16,37
0,0.009244441986083984,5.665705919265747,0.00041866302490234375,3.528594970703125e-05,5.67540431022644,CIFAR10_1,0,LeverageSHAP,393,16,37
0,0.021837949752807617,12.711778402328491,0.0006451606750488281,3.886222839355469e-05,12.734300374984741,CIFAR10_1,0,LeverageSHAP,863,16,37
0,0.04823136329650879,28.75503945350647,0.0009050369262695312,2.9325485229492188e-05,28.804205179214478,CIFAR10_1,0,LeverageSHAP,1894,16,37
0,0.1066436767578125,85.23827838897705,0.0021598339080810547,4.9591064453125e-05,85.3471314907074,CIFAR10_1,0,LeverageSHAP,4156,16,37
0,0.3102998733520508,297.13645219802856,0.0039920806884765625,3.5762786865234375e-05,297.45077991485596,CIFAR10_1,0,LeverageSHAP,9117,16,37
0,0.6443612575531006,467.99142384529114,0.0069658756256103516,3.838539123535156e-05,468.6427893638611,CIFAR10_1,0,LeverageSHAP,20000,16,37
0,0.0010766983032226562,0.35311269760131836,0.0015742778778076172,2.5033950805664062e-05,0.3557887077331543,CIFAR10_1,0,PolySHAP-2ADD,16,16,37
0,0.00138092041015625,0.779620885848999,0.008421897888183594,3.266334533691406e-05,0.7894563674926758,CIFAR10_1,0,PolySHAP-2ADD,37,16,37
0,0.0022606849670410156,1.6595509052276611,0.003630399703979492,2.8848648071289062e-05,1.665470838546753,CIFAR10_1,0,PolySHAP-2ADD,81,16,37
0,0.008441686630249023,3.817939519882202,0.0055081844329833984,2.956390380859375e-05,3.831918954849243,CIFAR10_1,0,PolySHAP-2ADD,179,16,37
0,0.016998291015625,8.333193063735962,0.008046865463256836,3.0279159545898438e-05,8.35826849937439,CIFAR10_1,0,PolySHAP-2ADD,393,16,37
0,0.043938636779785156,18.290820121765137,0.010857820510864258,3.123283386230469e-05,18.34564781188965,CIFAR10_1,0,PolySHAP-2ADD,863,16,37
0,0.09252667427062988,40.28505611419678,0.017360448837280273,3.2901763916015625e-05,40.3949761390686,CIFAR10_1,0,PolySHAP-2ADD,1894,16,37
0,0.17476105690002441,89.17530965805054,0.03272700309753418,4.482269287109375e-05,89.38284254074097,CIFAR10_1,0,PolySHAP-2ADD,4156,16,37
0,0.2943401336669922,197.5973138809204,0.07265067100524902,5.459785461425781e-05,197.96435928344727,CIFAR10_1,0,PolySHAP-2ADD,9117,16,37
0,0.5398271083831787,456.07742047309875,0.179548978805542,6.890296936035156e-05,456.79686546325684,CIFAR10_1,0,PolySHAP-2ADD,20000,16,37
0,0.0028696060180664062,0.30274081230163574,0.008539915084838867,3.24249267578125e-05,0.31418275833129883,CIFAR10_1,0,PolySHAP-3ADD,16,16,37
0,0.002737760543823242,0.9956507682800293,0.009252786636352539,3.0040740966796875e-05,1.0076713562011719,CIFAR10_1,0,PolySHAP-3ADD,37,16,37
0,0.004396915435791016,2.000904083251953,0.013405561447143555,2.956390380859375e-05,2.0187361240386963,CIFAR10_1,0,PolySHAP-3ADD,81,16,37
0,0.009756088256835938,4.161006689071655,0.023596525192260742,3.3855438232421875e-05,4.194393157958984,CIFAR10_1,0,PolySHAP-3ADD,179,16,37
0,0.020834684371948242,9.40400218963623,0.05319070816040039,5.507469177246094e-05,9.478082656860352,CIFAR10_1,0,PolySHAP-3ADD,393,16,37
0,0.0523531436920166,20.02703547477722,0.13159823417663574,6.318092346191406e-05,20.211050033569336,CIFAR10_1,0,PolySHAP-3ADD,863,16,37
0,0.10398483276367188,45.21175265312195,0.21363496780395508,9.989738464355469e-05,45.52947235107422,CIFAR10_1,0,PolySHAP-3ADD,1894,16,37
0,0.18182730674743652,97.55684423446655,0.377044677734375,0.00010061264038085938,98.11581683158875,CIFAR10_1,0,PolySHAP-3ADD,4156,16,37
0,0.3017451763153076,219.30628871917725,0.7152128219604492,6.937980651855469e-05,220.32331609725952,CIFAR10_1,0,PolySHAP-3ADD,9117,16,37
0,0.5516476631164551,491.2394618988037,1.420691728591919,6.961822509765625e-05,493.2118709087372,CIFAR10_1,0,PolySHAP-3ADD,20000,16,37
0,0.08829760551452637,0.26140356063842773,0.03339362144470215,4.506111145019531e-05,0.38313984870910645,CIFAR10_1,0,PolySHAP-4ADD,16,16,37
0,0.09974527359008789,0.8877921104431152,0.037789106369018555,4.6253204345703125e-05,1.0253727436065674,CIFAR10_1,0,PolySHAP-4ADD,37,16,37
0,0.10050201416015625,1.9851129055023193,0.050507307052612305,5.340576171875e-05,2.1361756324768066,CIFAR10_1,0,PolySHAP-4ADD,81,16,37
0,0.10445666313171387,4.58710241317749,0.08214664459228516,5.435943603515625e-05,4.773760080337524,CIFAR10_1,0,PolySHAP-4ADD,179,16,37
0,0.1118621826171875,10.061854124069214,0.1599898338317871,5.53131103515625e-05,10.33376145362854,CIFAR10_1,0,PolySHAP-4ADD,393,16,37
