approximator,id_config_approximator,used_budget,n_players,MSE_mean,MSE_q1,MSE_q2,MSE_q3,game_id
PermutationSampling,39,4156,16,0.00085128640357163,0.0006470674258129,0.0007903505142307,0.001045484704804875,CIFAR-10 ViT16 ($d=16$)
PermutationSampling,39,9117,16,0.00036708025356279,0.0002806570803388,0.00035700217682155,0.000426097664139125,CIFAR-10 ViT16 ($d=16$)
PermutationSampling,39,20000,16,0.00019117684098912563,0.00011157797491092501,0.00016856574424305,0.00022255130548662501,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD,37,179,16,0.009202260837933166,0.004302803375918975,0.00602569341866225,0.012207772182848575,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD,37,394,16,0.00420150420840612,0.002021778227621375,0.00300664506888215,0.0039823939596904,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD,37,864,16,0.0011712576241001966,0.00068097928973375,0.0009185537686089,0.0015993422774103002,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD,37,1895,16,0.00043828812578407,0.0002647205601108,0.00040747610257555,0.000511187913013725,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD,37,4156,16,0.0002355293338584043,0.000126681674523575,0.00015822993342675,0.0002555484091854,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD,37,9117,16,5.4002677696201114e-05,2.8657009246170785e-05,4.1439701831957724e-05,5.059442488361593e-05,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD,37,20000,16,1.3999533418499058e-05,7.687226544407976e-06,1.1267827904403673e-05,1.6162804893087753e-05,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD,39,179,16,0.026387070123233256,0.014833832048392576,0.01886773661555365,0.03255569722044663,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD,39,394,16,0.00360909636432527,0.0022156100669657747,0.0032615348466267,0.0047748760004059,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD,39,864,16,0.0010851861580268266,0.000595684223163575,0.00081474472826055,0.001401658836433125,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD,39,1895,16,0.00033241167557415983,0.000195850560001475,0.00028850022355819997,0.00038343544722265,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD,39,4156,16,0.00015200670342823853,9.828147956202345e-05,0.00013364892206825,0.00016222523080355,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD,39,9117,16,3.626085792122907e-05,2.2568260092172475e-05,2.9861945233056266e-05,3.810656492154264e-05,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD,39,20000,16,8.867195245993116e-06,5.839104709916199e-06,7.277719564652956e-06,9.765444801076363e-06,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD-50%,37,82,16,0.034762313172613385,0.016526192387858348,0.0234966374606934,0.038382538583664444,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD-50%,37,179,16,0.00923446250525967,0.00428094786280355,0.0060278634177272,0.0119701208480482,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD-50%,37,394,16,0.004201504208406157,0.0020217782276214,0.00300664506888215,0.0039823939596904,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD-50%,37,864,16,0.00117125762410021,0.00068097928973375,0.00091855376860895,0.0015993422774103002,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD-50%,37,1895,16,0.00043902332319667003,0.000266710107424525,0.0004099536499569,0.000513057353005325,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD-50%,37,4156,16,0.00023552933385840484,0.0001266816745235,0.00015822993342675,0.0002555484091854,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD-50%,37,9117,16,5.3915004593158185e-05,2.862355033532535e-05,4.145983382370988e-05,5.0584521435823924e-05,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD-50%,37,20000,16,1.3999533418498704e-05,7.687226544411497e-06,1.1267827904397679e-05,1.616280489308282e-05,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD-50%,39,82,16,0.2691464357975058,0.1304297345583191,0.17838704442557995,0.30602955151834627,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD-50%,39,179,16,0.015030516551855595,0.008594297169461074,0.0120417870690526,0.019306594836753975,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD-50%,39,394,16,0.0030751003532142967,0.002142451788796825,0.0028063129764409,0.003482356388609725,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD-50%,39,864,16,0.0014036496668863468,0.00068328164532245,0.00112629601074755,0.001755503452438225,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD-50%,39,1895,16,0.0004367322239692634,0.00025943280136585,0.00039667260820935,0.000503734058740375,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD-50%,39,4156,16,0.00020001465035561798,0.0001160717919709,0.00015662241851734999,0.00024692161645825,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD-50%,39,9117,16,5.422326245007833e-05,3.6446174408576445e-05,4.398369024960933e-05,6.072538701317693e-05,CIFAR-10 ViT16 ($d=16$)
PolySHAP-2ADD-50%,39,20000,16,1.2725739294258393e-05,7.802572002158142e-06,1.0783733192904642e-05,1.4311253425896593e-05,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD,37,864,16,0.004769072484593863,0.001456436775642825,0.0032303273084408,0.0070206604906246,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD,37,1895,16,0.00056433698884459,0.00022223750994905,0.00040829673656965,0.000867955526752025,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD,37,4156,16,6.578844680040855e-05,2.584382337350248e-05,5.97561265201459e-05,7.680977492610298e-05,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD,37,9117,16,1.5085229995685071e-05,7.743013370331667e-06,1.1828517853746453e-05,1.8711779553764447e-05,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD,37,20000,16,3.294150963042714e-06,1.928850013717302e-06,2.9370416512241605e-06,3.958121993830753e-06,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD,39,864,16,0.0037033527244926066,0.0024587900612602002,0.00328765584333915,0.00435431118364855,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD,39,1895,16,0.00028518294099617387,0.000172226387386975,0.0002642745750246,0.00037083536733335,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD,39,4156,16,6.922858573055966e-05,4.48687047762836e-05,6.620548061275877e-05,9.389317872633288e-05,CIFAR-10 ViT16 ($d=16$)
